task_id	native_id	process	tag	status	submit	start	complete	duration	realtime	%cpu	peak_rss	workdir
1	21103	NFCORE_SCNANOSEQ:SCNANOSEQ:PREPARE_REFERENCE_FILES:GUNZIP_GTF	-	COMPLETED	1779773110992	1779773111003	1779773115282	4290	3000	210.0	4644864	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/7d/d93d0d2bc365ea664ba1bfb3992887
3	21908	NFCORE_SCNANOSEQ:SCNANOSEQ:PREPARE_REFERENCE_FILES:GUNZIP_TRANSCRIPT_FASTA	-	COMPLETED	1779773116617	1779773116684	1779773118879	2262	1000	211.6	4669440	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/f5/4df6931f4050c981651a4ee222f4ab
13	21539	NFCORE_SCNANOSEQ:SCNANOSEQ:PROCESS_LONGREAD_SCRNA_GENOME:QUANTIFY_SCRNA_ISOQUANT:SPLIT_GTF	-	COMPLETED	1779773115320	1779773115382	1779773121040	5720	4910	158.7	4677632	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/da/0071571f352f959e41934598f29021
15	22577	NFCORE_SCNANOSEQ:SCNANOSEQ:PREPARE_REFERENCE_FILES:TRANSCRIPT_FAIDX	gencode.v45.transcripts.fa	COMPLETED	1779773118907	1779773118980	1779773121610	2703	2000	102.8	38809600	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/09/a00e931907e1ebe93d59e46bb9d3ac
14	21547	NFCORE_SCNANOSEQ:SCNANOSEQ:UCSC_GTFTOGENEPRED	gencode.v45.annotation.gtf	COMPLETED	1779773115330	1779773115383	1779773131322	15992	15000	101.0	647663616	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/67/85759f3d172061a426489c8e02d4d6
17	32929	NFCORE_SCNANOSEQ:SCNANOSEQ:UCSC_GENEPREDTOBED	gencode.v45.annotation.genepred	COMPLETED	1779773131342	1779773131422	1779773132759	1417	1000	102.0	14241792	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/a0/203dd38e27fdc562ccf51ccb8568ef
2	347408	NFCORE_SCNANOSEQ:SCNANOSEQ:PREPARE_REFERENCE_FILES:GUNZIP_GENOME_FASTA	-	COMPLETED	1779773470623	1779773470692	1779773481930	11307	11000	172.8	4730880	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/63/8e3c85fce8d90b51ba23dddb2f9333
19	359820	NFCORE_SCNANOSEQ:SCNANOSEQ:PREPARE_REFERENCE_FILES:GENOME_FAIDX	GRCh38.primary_assembly.genome.fa	COMPLETED	1779773481947	1779773482031	1779773493687	11740	10000	100.5	4997120	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/78/c6c4c9fc08865afb658686edfacf17
18	359813	NFCORE_SCNANOSEQ:SCNANOSEQ:PROCESS_LONGREAD_SCRNA_GENOME:QUANTIFY_SCRNA_ISOQUANT:SPLIT_FASTA	-	COMPLETED	1779773481943	1779773482030	1779773494387	12444	11645	100.3	4005888	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/77/87c67b0e3de68be4c1f6a5d7b82bfd
28	374451	NFCORE_SCNANOSEQ:SCNANOSEQ:PROCESS_LONGREAD_SCRNA_GENOME:QUANTIFY_SCRNA_ISOQUANT:SAMTOOLS_FAIDX_SPLIT	GL000216.2.split.fa	COMPLETED	1779773494417	1779773494489	1779773496619	2202	0	102.4	3153920	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/5c/985e94d57a37fa02d451fe163f0ec0
40	374505	NFCORE_SCNANOSEQ:SCNANOSEQ:PROCESS_LONGREAD_SCRNA_GENOME:QUANTIFY_SCRNA_ISOQUANT:SAMTOOLS_FAIDX_SPLIT	KI270310.1.split.fa	COMPLETED	1779773494433	1779773494495	1779773497019	2586	0	124.3	3203072	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/67/f899ec5cf883af76c3375389cebaf9
33	374541	NFCORE_SCNANOSEQ:SCNANOSEQ:PROCESS_LONGREAD_SCRNA_GENOME:QUANTIFY_SCRNA_ISOQUANT:SAMTOOLS_FAIDX_SPLIT	GL000224.1.split.fa	COMPLETED	1779773494441	1779773494496	1779773497394	2953	0	118.5	3178496	/home/niklas/CrossPlatformEnergyAccounting/workload/daw/work/c7/553ed7793fe73167168dfa4e6c27d8
